date,mode_line,ridership,mode
1/1/2019,lrt ampang,113357,LRT
2/1/2019,lrt ampang,182715,LRT
3/1/2019,lrt ampang,187904,LRT
4/1/2019,lrt ampang,198420,LRT
5/1/2019,lrt ampang,120773,LRT
6/1/2019,lrt ampang,101145,LRT
7/1/2019,lrt ampang,197569,LRT
8/1/2019,lrt ampang,196879,LRT
9/1/2019,lrt ampang,197314,LRT
10/1/2019,lrt ampang,198876,LRT
11/1/2019,lrt ampang,209859,LRT
12/1/2019,lrt ampang,124608,LRT
13/1/2019,lrt ampang,106718,LRT
14/1/2019,lrt ampang,199162,LRT
15/1/2019,lrt ampang,195405,LRT
16/1/2019,lrt ampang,198901,LRT
17/1/2019,lrt ampang,201926,LRT
18/1/2019,lrt ampang,217270,LRT
19/1/2019,lrt ampang,130758,LRT
20/1/2019,lrt ampang,105012,LRT
21/1/2019,lrt ampang,103443,LRT
22/1/2019,lrt ampang,196298,LRT
23/1/2019,lrt ampang,197309,LRT
24/1/2019,lrt ampang,198692,LRT
25/1/2019,lrt ampang,215764,LRT
26/1/2019,lrt ampang,136301,LRT
27/1/2019,lrt ampang,107763,LRT
28/1/2019,lrt ampang,201365,LRT
29/1/2019,lrt ampang,201416,LRT
30/1/2019,lrt ampang,203261,LRT
31/1/2019,lrt ampang,216817,LRT
1/2/2019,lrt ampang,133281,LRT
2/2/2019,lrt ampang,116729,LRT
3/2/2019,lrt ampang,103011,LRT
4/2/2019,lrt ampang,139596,LRT
5/2/2019,lrt ampang,102683,LRT
6/2/2019,lrt ampang,96384,LRT
7/2/2019,lrt ampang,149863,LRT
8/2/2019,lrt ampang,157270,LRT
9/2/2019,lrt ampang,109346,LRT
10/2/2019,lrt ampang,99421,LRT
11/2/2019,lrt ampang,195601,LRT
12/2/2019,lrt ampang,195645,LRT
13/2/2019,lrt ampang,193979,LRT
14/2/2019,lrt ampang,198331,LRT
15/2/2019,lrt ampang,209305,LRT
16/2/2019,lrt ampang,132846,LRT
17/2/2019,lrt ampang,107138,LRT
18/2/2019,lrt ampang,196753,LRT
19/2/2019,lrt ampang,178768,LRT
20/2/2019,lrt ampang,199157,LRT
21/2/2019,lrt ampang,200226,LRT
22/2/2019,lrt ampang,212795,LRT
23/2/2019,lrt ampang,125301,LRT
24/2/2019,lrt ampang,104184,LRT
25/2/2019,lrt ampang,198840,LRT
26/2/2019,lrt ampang,197991,LRT
27/2/2019,lrt ampang,198505,LRT
28/2/2019,lrt ampang,201166,LRT
1/3/2019,lrt ampang,217456,LRT
2/3/2019,lrt ampang,134544,LRT
3/3/2019,lrt ampang,111588,LRT
4/3/2019,lrt ampang,197801,LRT
5/3/2019,lrt ampang,200357,LRT
6/3/2019,lrt ampang,203100,LRT
7/3/2019,lrt ampang,204283,LRT
8/3/2019,lrt ampang,223645,LRT
9/3/2019,lrt ampang,132857,LRT
10/3/2019,lrt ampang,109988,LRT
11/3/2019,lrt ampang,201798,LRT
12/3/2019,lrt ampang,200905,LRT
13/3/2019,lrt ampang,200456,LRT
14/3/2019,lrt ampang,201577,LRT
15/3/2019,lrt ampang,233271,LRT
16/3/2019,lrt ampang,160425,LRT
17/3/2019,lrt ampang,130314,LRT
18/3/2019,lrt ampang,197854,LRT
19/3/2019,lrt ampang,197216,LRT
20/3/2019,lrt ampang,200186,LRT
21/3/2019,lrt ampang,202089,LRT
22/3/2019,lrt ampang,218157,LRT
23/3/2019,lrt ampang,130663,LRT
24/3/2019,lrt ampang,104866,LRT
25/3/2019,lrt ampang,194363,LRT
26/3/2019,lrt ampang,194677,LRT
27/3/2019,lrt ampang,198831,LRT
28/3/2019,lrt ampang,199485,LRT
29/3/2019,lrt ampang,238981,LRT
30/3/2019,lrt ampang,152283,LRT
31/3/2019,lrt ampang,123681,LRT
1/4/2019,lrt ampang,205245,LRT
2/4/2019,lrt ampang,207847,LRT
3/4/2019,lrt ampang,211684,LRT
4/4/2019,lrt ampang,212319,LRT
5/4/2019,lrt ampang,229860,LRT
6/4/2019,lrt ampang,160353,LRT
7/4/2019,lrt ampang,130957,LRT
8/4/2019,lrt ampang,202323,LRT
9/4/2019,lrt ampang,200751,LRT
10/4/2019,lrt ampang,200386,LRT
11/4/2019,lrt ampang,201013,LRT
12/4/2019,lrt ampang,213747,LRT
13/4/2019,lrt ampang,155043,LRT
14/4/2019,lrt ampang,113787,LRT
15/4/2019,lrt ampang,200342,LRT
16/4/2019,lrt ampang,199017,LRT
17/4/2019,lrt ampang,198520,LRT
18/4/2019,lrt ampang,199315,LRT
19/4/2019,lrt ampang,209956,LRT
20/4/2019,lrt ampang,126409,LRT
21/4/2019,lrt ampang,108371,LRT
22/4/2019,lrt ampang,196368,LRT
23/4/2019,lrt ampang,194416,LRT
24/4/2019,lrt ampang,200264,LRT
25/4/2019,lrt ampang,201047,LRT
26/4/2019,lrt ampang,220087,LRT
27/4/2019,lrt ampang,148493,LRT
28/4/2019,lrt ampang,114793,LRT
29/4/2019,lrt ampang,201303,LRT
30/4/2019,lrt ampang,207805,LRT
1/5/2019,lrt ampang,135451,LRT
2/5/2019,lrt ampang,213318,LRT
3/5/2019,lrt ampang,229453,LRT
4/5/2019,lrt ampang,149913,LRT
5/5/2019,lrt ampang,119501,LRT
6/5/2019,lrt ampang,193188,LRT
7/5/2019,lrt ampang,200326,LRT
8/5/2019,lrt ampang,199550,LRT
9/5/2019,lrt ampang,200581,LRT
10/5/2019,lrt ampang,212807,LRT
11/5/2019,lrt ampang,120057,LRT
12/5/2019,lrt ampang,102042,LRT
13/5/2019,lrt ampang,195651,LRT
14/5/2019,lrt ampang,198640,LRT
15/5/2019,lrt ampang,200154,LRT
16/5/2019,lrt ampang,203075,LRT
17/5/2019,lrt ampang,219217,LRT
18/5/2019,lrt ampang,129118,LRT
19/5/2019,lrt ampang,105922,LRT
20/5/2019,lrt ampang,101298,LRT
21/5/2019,lrt ampang,181172,LRT
22/5/2019,lrt ampang,107977,LRT
23/5/2019,lrt ampang,202477,LRT
24/5/2019,lrt ampang,217897,LRT
25/5/2019,lrt ampang,145493,LRT
26/5/2019,lrt ampang,124385,LRT
27/5/2019,lrt ampang,206027,LRT
28/5/2019,lrt ampang,206520,LRT
29/5/2019,lrt ampang,209382,LRT
30/5/2019,lrt ampang,207701,LRT
31/5/2019,lrt ampang,220204,LRT
1/6/2019,lrt ampang,147554,LRT
2/6/2019,lrt ampang,120712,LRT
3/6/2019,lrt ampang,177463,LRT
4/6/2019,lrt ampang,161474,LRT
5/6/2019,lrt ampang,101031,LRT
6/6/2019,lrt ampang,100668,LRT
7/6/2019,lrt ampang,135225,LRT
8/6/2019,lrt ampang,98302,LRT
9/6/2019,lrt ampang,97557,LRT
10/6/2019,lrt ampang,183372,LRT
11/6/2019,lrt ampang,198161,LRT
12/6/2019,lrt ampang,198286,LRT
13/6/2019,lrt ampang,199285,LRT
14/6/2019,lrt ampang,210190,LRT
15/6/2019,lrt ampang,126345,LRT
16/6/2019,lrt ampang,104970,LRT
17/6/2019,lrt ampang,199277,LRT
18/6/2019,lrt ampang,201181,LRT
19/6/2019,lrt ampang,204388,LRT
20/6/2019,lrt ampang,203806,LRT
21/6/2019,lrt ampang,217381,LRT
22/6/2019,lrt ampang,135017,LRT
23/6/2019,lrt ampang,114790,LRT
24/6/2019,lrt ampang,179236,LRT
25/6/2019,lrt ampang,202288,LRT
26/6/2019,lrt ampang,204467,LRT
27/6/2019,lrt ampang,205621,LRT
28/6/2019,lrt ampang,220591,LRT
29/6/2019,lrt ampang,139646,LRT
30/6/2019,lrt ampang,118580,LRT
1/7/2019,lrt ampang,206240,LRT
2/7/2019,lrt ampang,204731,LRT
3/7/2019,lrt ampang,206019,LRT
4/7/2019,lrt ampang,206679,LRT
5/7/2019,lrt ampang,225277,LRT
6/7/2019,lrt ampang,156601,LRT
7/7/2019,lrt ampang,118050,LRT
8/7/2019,lrt ampang,208335,LRT
9/7/2019,lrt ampang,206291,LRT
10/7/2019,lrt ampang,205018,LRT
11/7/2019,lrt ampang,205382,LRT
12/7/2019,lrt ampang,226326,LRT
13/7/2019,lrt ampang,138415,LRT
14/7/2019,lrt ampang,112109,LRT
15/7/2019,lrt ampang,206579,LRT
16/7/2019,lrt ampang,202785,LRT
17/7/2019,lrt ampang,206487,LRT
18/7/2019,lrt ampang,206955,LRT
19/7/2019,lrt ampang,220002,LRT
20/7/2019,lrt ampang,130646,LRT
21/7/2019,lrt ampang,107384,LRT
