date,mode_line,ridership,mode,DayOfWeek,TypeOfDay
2019-01-01,lrt ampang,113357,LRT,Tuesday,Weekday
2019-01-02,lrt ampang,182715,LRT,Wednesday,Weekday
2019-01-03,lrt ampang,187904,LRT,Thursday,Weekday
2019-01-04,lrt ampang,198420,LRT,Friday,Weekday
2019-01-05,lrt ampang,120773,LRT,Saturday,Weekend
2019-01-06,lrt ampang,101145,LRT,Sunday,Weekend
2019-01-07,lrt ampang,197569,LRT,Monday,Weekday
2019-01-08,lrt ampang,196879,LRT,Tuesday,Weekday
2019-01-09,lrt ampang,197314,LRT,Wednesday,Weekday
2019-01-10,lrt ampang,198876,LRT,Thursday,Weekday
2019-01-11,lrt ampang,209859,LRT,Friday,Weekday
2019-01-12,lrt ampang,124608,LRT,Saturday,Weekend
2019-01-13,lrt ampang,106718,LRT,Sunday,Weekend
2019-01-14,lrt ampang,199162,LRT,Monday,Weekday
2019-01-15,lrt ampang,195405,LRT,Tuesday,Weekday
2019-01-16,lrt ampang,198901,LRT,Wednesday,Weekday
2019-01-17,lrt ampang,201926,LRT,Thursday,Weekday
2019-01-18,lrt ampang,217270,LRT,Friday,Weekday
2019-01-19,lrt ampang,130758,LRT,Saturday,Weekend
2019-01-20,lrt ampang,105012,LRT,Sunday,Weekend
2019-01-21,lrt ampang,103443,LRT,Monday,Weekday
2019-01-22,lrt ampang,196298,LRT,Tuesday,Weekday
2019-01-23,lrt ampang,197309,LRT,Wednesday,Weekday
2019-01-24,lrt ampang,198692,LRT,Thursday,Weekday
2019-01-25,lrt ampang,215764,LRT,Friday,Weekday
2019-01-26,lrt ampang,136301,LRT,Saturday,Weekend
2019-01-27,lrt ampang,107763,LRT,Sunday,Weekend
2019-01-28,lrt ampang,201365,LRT,Monday,Weekday
2019-01-29,lrt ampang,201416,LRT,Tuesday,Weekday
2019-01-30,lrt ampang,203261,LRT,Wednesday,Weekday
2019-01-31,lrt ampang,216817,LRT,Thursday,Weekday
2019-02-01,lrt ampang,133281,LRT,Friday,Weekday
2019-02-02,lrt ampang,116729,LRT,Saturday,Weekend
2019-02-03,lrt ampang,103011,LRT,Sunday,Weekend
2019-02-04,lrt ampang,139596,LRT,Monday,Weekday
2019-02-05,lrt ampang,102683,LRT,Tuesday,Weekday
2019-02-06,lrt ampang,96384,LRT,Wednesday,Weekday
2019-02-07,lrt ampang,149863,LRT,Thursday,Weekday
2019-02-08,lrt ampang,157270,LRT,Friday,Weekday
2019-02-09,lrt ampang,109346,LRT,Saturday,Weekend
2019-02-10,lrt ampang,99421,LRT,Sunday,Weekend
2019-02-11,lrt ampang,195601,LRT,Monday,Weekday
2019-02-12,lrt ampang,195645,LRT,Tuesday,Weekday
2019-02-13,lrt ampang,193979,LRT,Wednesday,Weekday
2019-02-14,lrt ampang,198331,LRT,Thursday,Weekday
2019-02-15,lrt ampang,209305,LRT,Friday,Weekday
2019-02-16,lrt ampang,132846,LRT,Saturday,Weekend
2019-02-17,lrt ampang,107138,LRT,Sunday,Weekend
2019-02-18,lrt ampang,196753,LRT,Monday,Weekday
2019-02-19,lrt ampang,178768,LRT,Tuesday,Weekday
2019-02-20,lrt ampang,199157,LRT,Wednesday,Weekday
2019-02-21,lrt ampang,200226,LRT,Thursday,Weekday
2019-02-22,lrt ampang,212795,LRT,Friday,Weekday
2019-02-23,lrt ampang,125301,LRT,Saturday,Weekend
2019-02-24,lrt ampang,104184,LRT,Sunday,Weekend
2019-02-25,lrt ampang,198840,LRT,Monday,Weekday
2019-02-26,lrt ampang,197991,LRT,Tuesday,Weekday
2019-02-27,lrt ampang,198505,LRT,Wednesday,Weekday
2019-02-28,lrt ampang,201166,LRT,Thursday,Weekday
2019-03-01,lrt ampang,217456,LRT,Friday,Weekday
2019-03-02,lrt ampang,134544,LRT,Saturday,Weekend
2019-03-03,lrt ampang,111588,LRT,Sunday,Weekend
2019-03-04,lrt ampang,197801,LRT,Monday,Weekday
2019-03-05,lrt ampang,200357,LRT,Tuesday,Weekday
2019-03-06,lrt ampang,203100,LRT,Wednesday,Weekday
2019-03-07,lrt ampang,204283,LRT,Thursday,Weekday
2019-03-08,lrt ampang,223645,LRT,Friday,Weekday
2019-03-09,lrt ampang,132857,LRT,Saturday,Weekend
2019-03-10,lrt ampang,109988,LRT,Sunday,Weekend
2019-03-11,lrt ampang,201798,LRT,Monday,Weekday
2019-03-12,lrt ampang,200905,LRT,Tuesday,Weekday
2019-03-13,lrt ampang,200456,LRT,Wednesday,Weekday
2019-03-14,lrt ampang,201577,LRT,Thursday,Weekday
2019-03-15,lrt ampang,233271,LRT,Friday,Weekday
2019-03-16,lrt ampang,160425,LRT,Saturday,Weekend
2019-03-17,lrt ampang,130314,LRT,Sunday,Weekend
2019-03-18,lrt ampang,197854,LRT,Monday,Weekday
2019-03-19,lrt ampang,197216,LRT,Tuesday,Weekday
2019-03-20,lrt ampang,200186,LRT,Wednesday,Weekday
